county_code,pre.pan,pan,est,error,t.stat,p.value,degrees.freedom,skewness,country_code,state_code,lat,lon,area_developed,area_undeveloped,delta_traffic,c_delta_traffic,confident
CA-AB-SI,-7.423,-23.409,-15.986,13.576,-1.178,0.247,36,2.3514738081798514,CA,CA-AB,51.13891185,-114.1800359,1024484000,11852810000,-14.48913043478261,-0.4320747520976358,no
CA-BC-CO,-25.538,-10.884,14.653,9.698,1.511,0.138,44,2.313167502497657,CA,CA-BC,49.937295,-119.4728851,195678000,2951353000,-14.130434782608695,-0.07337909992372182,no
CA-BC-CP,53.526,27.747,-25.779,13.109,-1.966,0.057,34,2.075316395736496,CA,CA-BC,48.6372002,-123.740948,219421800,2175713100,-14.130434782608695,-0.07337909992372182,no
CA-BC-FV,6.869,0.05,-6.819,7.946,-0.858,0.396,41,2.0476873670534608,CA,CA-BC,49.50516875,-121.6646126,245820600,13494730000,-14.130434782608695,-0.07337909992372182,no
CA-BC-GV,-26.307,-13.827,12.48,7.122,1.752,0.088,39,1.306124884353779,CA,CA-BC,49.2071738,-122.929071,824435100,2186228600,-14.130434782608695,-0.07337909992372182,no
CA-MB-EL,-4.019,25.451,29.471,20.691,1.424,0.162,40,3.5687505135345416,CA,CA-MB,49.85965085,-97.2035745,275305500,308889000,-12.83695652173913,1.2200991609458427,no
CA-NB-WE,-0.359,-17.445,-17.087,5.703,-2.996,0.005,30,2.8297389354540177,CA,CA-NB,45.9979545,-64.533378,165577500,3569253700,-12.652173913043478,1.404881769641495,yes
CA-ON-ES,0.04,-13.065,-13.105,7.77,-1.687,0.097,57,2.797672965709541,CA,CA-ON,42.0369955,-82.7818727,265328100,1973802000,-17.07608695652174,-3.019031273836765,no
CA-ON-HA,-31.944,-39.883,-7.939,7.035,-1.129,0.264,52,4.614930952986494,CA,CA-ON,43.258089,-79.93184165,223997400,920527200,-17.07608695652174,-3.019031273836765,no
CA-ON-MI,8.037,-9.626,-17.664,11.119,-1.589,0.119,47,1.6127370637247804,CA,CA-ON,42.94334985,-81.3674992,303111900,3044660000,-17.07608695652174,-3.019031273836765,no
CA-ON-OT,25.791,22.177,-3.614,15.723,-0.23,0.819,45,2.5659711280745077,CA,CA-ON,45.2458611,-75.81470815,412264800,2463464000,-17.07608695652174,-3.019031273836765,no
CA-ON-TO,-32.805,-14.285,18.52,9.192,2.015,0.049,58,2.6415187154939725,CA,CA-ON,43.7166128,-79.3738146,493515900,162652500,-17.07608695652174,-3.019031273836765,yes
CA-ON-WT,-2.235,10.607,12.843,10,1.284,0.205,50,2.82375185110251,CA,CA-ON,43.46089765,-80.52078365,257646600,1127667000,-17.07608695652174,-3.019031273836765,no
CA-QC-MR,-37.488,-49.444,-11.956,7.562,-1.581,0.12,52,2.788600812784895,CA,CA-QC,45.5543445,-73.72330875,369158400,149873400,-17.23913043478261,-3.182074752097636,no
CA-QC-QU,-8.489,-22.423,-13.934,10.399,-1.34,0.188,38,3.6114954820105196,CA,CA-QC,46.840188,-71.344032,212057100,348381000,-17.23913043478261,-3.182074752097636,no
CA-SK-EL,34.427,-12.035,-46.462,14.008,-3.317,0.002,36,1.5368356364051345,CA,CA-SK,51.7647055,-106.0598645,655488000,16741590000,-11.684782608695652,2.372273073989321,yes
CA-SK-SI,22.013,-6.66,-28.673,16.814,-1.705,0.097,35,2.577291839826406,CA,CA-SK,50.5602312,-104.443368,660534300,17374500000,-11.684782608695652,2.372273073989321,no
US-AK-020,-17.471,-5.846,11.625,17.138,0.678,0.506,18,1.8491211846763937,US,US-AK,61.1206649,-149.3333862,229350600,4239639100,-11.782608695652174,2.2744469870327997,no
US-AL-073,22.815,7.4,-15.415,10.413,-1.48,0.146,45,1.514062286287171,US,US-AL,33.5425862,-86.930274,860572800,2050954000,-11.619565217391305,2.437490465293669,no
US-AL-089,14.712,-4.947,-19.659,21.645,-0.908,0.368,53,2.892532495941846,US,US-AL,34.74872225,-86.57835025,482417100,1621291000,-12.934782608695652,1.1222730739893212,no
US-AZ-013,32.516,19.225,-13.291,28.004,-0.475,0.639,29,2.656062052812333,US,US-AZ,33.27931255,-112.2462953,2858625000,21032010000,-12.315217391304348,1.7418382913806258,no
US-AZ-019,92.823,76.276,-16.547,39.627,-0.418,0.679,29,2.1173713119093813,US,US-AZ,32.000186,-111.8685162,914814900,22947490000,-11.25,2.8070556826849735,no
US-CA-001,-2.7,-0.701,1.999,13.574,0.147,0.884,40,2.1291982358181096,US,US-CA,37.6844805,-121.9100846,639103500,1296018300,-20.42391304347826,-6.366857360793288,no
US-CA-037,17.944,0.779,-17.165,8.487,-2.022,0.049,43,1.186544033519497,US,US-CA,33.8123573,-118.2977847,3453578000,7130562800,-16.83695652173913,-2.7799008390541555,yes
US-CA-065,59.266,80.863,21.597,27.631,0.782,0.439,39,2.9047757989513645,US,US-CA,33.73175925,-116.0689749,1794583000,17148740000,-13.282608695652174,0.7744469870327997,no
US-CA-071,30.413,24.581,-5.833,13.541,-0.431,0.669,36,2.645026436535666,US,US-CA,34.833211,-115.9608027,1962851000,50141630000,-12.706521739130435,1.350533943554538,no
US-CA-073,16.686,50.031,33.345,17.81,1.872,0.069,38,1.4407047138529316,US,US-CA,32.9878467,-116.8466082,1999422000,9021749900,-16.804347826086957,-2.7472921434019835,no
US-CA-075,21.563,22.735,1.173,9.849,0.119,0.906,35,1.0422690680024422,US,US-CA,37.79009875,-122.6558471,113481900,12260700,-25.391304347826086,-11.334248665141113,no
US-CA-085,18.833,1.534,-17.299,14.024,-1.234,0.224,43,1.7965606679046184,US,US-CA,37.1899274,-121.704306,827920800,2521546500,-23.434782608695652,-9.377726926010679,no
US-CO-031,-13.31,-14.345,-1.036,9.883,-0.105,0.917,43,1.5347172763612504,US,US-CO,39.76012745,-104.8563634,316713600,86472900,-15.826086956521738,-1.7690312738367648,no
US-FL-009,-9.695,71.445,81.14,24.481,3.314,0.002,38,2.7332130647508293,US,US-FL,28.30610345,-80.31806445,699705900,2051919700,-10.847826086956522,3.209229595728452,yes
US-FL-011,-5.834,-16.558,-10.724,13.863,-0.774,0.445,32,2.0992845883631466,US,US-FL,26.1457885,-80.1961218,927009900,2239765100,-16.869565217391305,-2.812509534706331,no
US-FL-033,1.734,23.029,21.295,15.495,1.374,0.177,41,2.112861494326157,US,US-FL,30.638666,-87.2016399,377065800,1378823700,-8.771739130434783,5.28531655225019,no
US-FL-057,42.711,-13.482,-56.192,20.139,-2.79,0.008,39,3.5154255628544178,US,US-FL,27.8750846,-82.41097235,1086452000,1704545800,-13.543478260869565,0.513577421815409,yes
US-FL-083,-9.378,-11.216,-1.838,14.413,-0.128,0.899,51,2.8602693906498593,US,US-FL,29.2353102,-82.0767072,674747100,3658513000,-8.5,5.5570556826849735,no
US-FL-086,-16.931,2.322,19.253,12.571,1.531,0.136,31,2.5458086897857,US,US-FL,25.59132885,-80.456701,1059809000,4134323200,-17.42391304347826,-3.366857360793288,no
US-FL-095,12.329,11.493,-0.837,17.978,-0.047,0.963,48,3.6154446577545647,US,US-FL,28.5666175,-81.2803799,989173800,1608598000,-15.673913043478262,-1.6168573607932881,no
US-FL-099,20.71,7.75,-12.96,31.914,-0.406,0.687,38,3.5824485763374447,US,US-FL,26.64773855,-80.4183455,1192153000,4543719300,-14.880434782608695,-0.8233790999237218,no
US-FL-103,21.192,42.038,20.846,17.465,1.194,0.239,42,2.4397679689698064,US,US-FL,27.89161455,-82.7090987,600869700,174780000,-11.923913043478262,2.133142639206712,no
US-FL-105,47.237,29.027,-18.21,14.549,-1.252,0.218,39,3.9768013247510536,US,US-FL,27.986022,-81.6160185,858858300,4354832000,-11.108695652173912,2.9483600305110613,no
US-FL-115,6.779,50.789,44.01,16.524,2.663,0.011,45,2.6594462932155616,US,US-FL,27.167337,-82.35225705,548952300,952071300,-10.75,3.3070556826849735,yes
US-FL-127,36.512,29.407,-7.105,15.509,-0.458,0.649,44,2.129712759429554,US,US-FL,29.01494255,-81.1714684,613957500,2493955800,-10.130434782608695,3.926620900076278,no
US-GA-121,-10.257,8.614,18.871,8.633,2.186,0.033,55,1.51207872421238,US,US-GA,33.8463795,-84.4756792,759681000,622776600,-15.91304347826087,-1.8559877955758957,yes
US-IL-031,-8.126,-3.657,4.47,8.813,0.507,0.614,66,3.410540509057069,US,US-IL,41.8826604,-87.72208585,2077501000,414930600,-15.967391304347826,-1.9103356216628526,no
US-IL-201,-39.701,-45.519,-5.818,5.015,-1.16,0.25,63,2.01844817488234,US,US-IL,42.3246596,-89.170138,353664000,1001695000,-11.195652173913043,2.8614035087719305,no
US-IN-003,7.544,-11.984,-19.529,8.611,-2.268,0.026,70,3.151716315666305,US,US-IN,41.09909665,-85.0722476,425431800,1282939000,-12.021739130434783,2.0353165522501904,yes
US-IN-089,-4.499,84.545,89.044,18.276,4.872,0,71,2.534044296294006,US,US-IN,41.44222195,-87.37363,512578800,789222600,-11.880434782608695,2.176620900076278,yes
US-IN-097,-22.236,-8.131,14.105,8.93,1.58,0.119,71,2.4856692269258294,US,US-IN,39.78120715,-86.136369,821201400,223363800,-11.847826086956522,2.209229595728452,no
US-LA-071,37.847,10.731,-27.115,19.096,-1.42,0.163,44,1.8939183501100734,US,US-LA,30.0238576,-89.9371143,202914900,694153800,-15.76086956521739,-1.7038138825324172,no
US-MD-005,36.088,23.442,-12.646,11.828,-1.069,0.289,63,2.120337968599292,US,US-MD,39.454777,-76.609311,743769000,1050900500,-14.581521739130435,-0.524466056445462,no
US-MI-049,13.452,3.559,-9.893,11.33,-0.873,0.386,58,3.0342989373065743,US,US-MI,43.00149205,-83.6919031,527576400,1159490000,-13.673913043478262,0.3831426392067119,no
US-MI-065,0.736,-12.687,-13.424,8.371,-1.604,0.114,56,2.640281511724176,US,US-MI,42.59856615,-84.3726695,283588200,1173427000,-16.51086956521739,-2.453813882532417,no
US-MI-077,-28.099,15.787,43.886,8.56,5.127,0,61,3.0836731308771737,US,US-MI,42.24515,-85.5331365,293908500,1206774000,-14.369565217391305,-0.31250953470633114,yes
US-MI-081,-11.709,24.201,35.91,15.372,2.336,0.023,57,3.059271774996685,US,US-MI,43.03124445,-85.5503745,660530700,1598152000,-15.521739130434783,-1.4646834477498096,yes
US-MN-109,11.15,46.48,35.33,13.558,2.606,0.012,54,2.148151030485706,US,US-MN,44.0182353,-92.3713803,193502700,1496465000,-14.173913043478262,-0.11685736079328812,yes
US-MN-123,-12.455,-26.339,-13.884,5.729,-2.423,0.018,62,1.8321741799274307,US,US-MN,45.00688,-93.10616795,332183700,101753100,-15.108695652173912,-1.0516399694889387,yes
US-MO-047,79.753,43.77,-35.983,18.991,-1.895,0.063,63,2.587252830820167,US,US-MO,39.28932875,-94.4090267,281021400,784478700,-12.630434782608695,1.4266209000762782,no
US-MO-095,-12.354,-9.464,2.89,11.906,0.243,0.809,62,3.25594610899594,US,US-MO,39.0221356,-94.3660813,647356500,940653900,-11,3.0570556826849735,no
US-MO-189,-15.972,4.192,20.164,8.805,2.29,0.026,53,2.3186493391161096,US,US-MO,38.632109,-90.42302915,1018435000,498114900,-13.494565217391305,0.5624904652936689,yes
US-MS-047,37.151,80.568,43.417,14.986,2.897,0.006,45,2.260946441463529,US,US-MS,30.44150295,-89.05894355,287468100,1220041600,-9.478260869565217,4.578794813119757,yes
US-MS-049,-6.864,-22.446,-15.583,22.064,-0.706,0.484,42,2.7931354120012677,US,US-MS,32.2923128,-90.39705575,320339700,1932319000,-9.434782608695652,4.622273073989321,no
US-MT-013,139.563,105.242,-34.322,38.591,-0.889,0.382,25,1.2077950384404998,US,US-MT,47.266872,-111.3561317,164742300,6855237000,-8.369565217391305,5.687490465293669,no
US-MT-063,35.576,6.74,-28.836,14.578,-1.978,0.055,38,3.1109235867790295,US,US-MT,47.1098074,-113.9436612,137069100,6628254000,-10.141304347826088,3.9157513348588857,no
US-NC-183,-14.302,-15.042,-0.741,9.463,-0.078,0.938,59,3.028718802373637,US,US-NC,35.80426805,-78.62205015,861987600,1354552000,-15.847826086956522,-1.790770404271548,no
US-ND-017,64.416,42.577,-21.838,25.513,-0.856,0.395,62,2.831994350933596,US,US-ND,46.913046,-97.22640665,342519300,4247365000,-12.66304347826087,1.3940122044241043,no
US-ND-035,50.555,-0.819,-51.375,19.959,-2.574,0.013,52,2.681505546302047,US,US-ND,47.92887545,-97.4287069,211783500,3509087000,-13.442028985507246,0.6150266971777274,yes
US-NJ-013,-19.292,5.214,24.506,14.447,1.696,0.095,56,2.8248849705609516,US,US-NJ,40.79477545,-74.24501055,270667800,63997200,-18.42391304347826,-4.366857360793288,no
US-NV-003,17.896,47.538,29.642,22.458,1.32,0.195,39,3.357054770504078,US,US-NV,35.92562325,-114.9245866,1146985000,19751640000,-14.858695652173912,-0.8016399694889387,no
US-NV-031,53.718,68.292,14.574,18.459,0.79,0.435,37,1.8219140562237794,US,US-NV,40.5816165,-119.6389242,398306700,16553550000,-12.521739130434783,1.5353165522501904,no
US-NY-005,10.217,-26.504,-36.721,20.073,-1.829,0.073,53,3.9345638615156537,US,US-NY,40.8554041,-73.85647505,98752500,16646400,-17.380434782608695,-3.323379099923722,no
US-NY-047,18.337,29.903,11.566,18.92,0.611,0.543,62,3.4322439800013673,US,US-NY,40.64234875,-73.94266875,168031800,14094900,-20.141304347826086,-6.0842486651411125,no
US-NY-061,-21.146,-18.946,2.199,8.959,0.246,0.807,52,1.8982362514580018,US,US-NY,40.78201345,-73.97904625,52655400,16373700,-21.945652173913043,-7.8885964912280695,no
US-NY-081,-27.293,-15.573,11.719,6.839,1.714,0.092,61,1.4717668505786794,US,US-NY,40.64250175,-73.8423445,260910000,27754200,-22.27173913043478,-8.214683447749808,no
US-OH-035,33.202,17.677,-15.525,16.211,-0.958,0.342,65,3.5899946735134836,US,US-OH,41.4505163,-81.67266485,919834200,277530300,-12.891304347826088,1.1657513348588857,no
US-OH-049,9.764,31.387,21.623,14.442,1.497,0.139,72,3.3663390210799986,US,US-OH,39.9744974,-83.0161585,888265800,529014600,-14.271739130434783,-0.21468344774980963,no
US-OH-113,16.407,15.559,-0.848,12.663,-0.067,0.947,63,4.393063011376762,US,US-OH,39.7495545,-84.2682494,537767100,665713800,-11.456521739130435,2.600533943554538,no
US-OH-153,-22.984,-15.995,6.989,5.608,1.246,0.217,64,2.5369005833489786,US,US-OH,41.12926315,-81.5397615,610574400,473745600,-12.423913043478262,1.6331426392067119,no
US-PA-101,15.584,-14.049,-29.633,9.099,-3.257,0.002,65,2.3697137644297146,US,US-PA,40.00072905,-75.11888695,316526400,52009200,-15.576086956521738,-1.5190312738367648,yes
US-SC-045,8.168,3.771,-4.397,12.998,-0.338,0.736,54,2.817952207749563,US,US-SC,34.86252985,-82.41598455,595599300,1455104000,-11.032608695652174,3.0244469870327997,no
US-TN-037,17.387,-20.408,-37.796,13.109,-2.883,0.005,60,2.8056264415055305,US,US-TN,36.1829325,-86.77239535,559029600,813273300,-13.380434782608695,0.6766209000762782,yes
US-TN-157,-30.367,-18.861,11.506,9.129,1.26,0.213,58,4.472830266618972,US,US-TN,35.1977483,-89.9026591,860136300,1162978000,-10.25,3.8070556826849735,no
US-TX-029,12.905,17.107,4.202,15.041,0.279,0.781,38,1.813567944294841,US,US-TX,29.4331065,-98.4840635,1290532000,1969897000,-13.358695652173912,0.6983600305110613,no
US-TX-061,100.063,42.564,-57.499,34.241,-1.679,0.101,39,1.9734425933605846,US,US-TX,26.12179285,-97.5040865,381394800,2201118500,-14.184782608695652,-0.1277269260106788,no
US-TX-113,-13.426,53.19,66.616,16.764,3.974,0,52,2.6182505544740993,US,US-TX,32.7675986,-96.7775174,1542129000,809843400,-13.652173913043478,0.404881769641495,yes
US-TX-201,4.097,41.744,37.646,16.727,2.251,0.03,40,2.479956532401368,US,US-TX,29.8268127,-95.43505585,2929067000,1628323200,-13.804347826086957,0.25270785659801653,yes
US-TX-215,31.308,9.676,-21.632,15.8,-1.369,0.179,38,1.7098881730246684,US,US-TX,26.41799335,-98.208616,719735400,3418030000,-13.652173913043478,0.404881769641495,no
US-TX-355,29.551,-10.983,-40.534,14.733,-2.751,0.009,43,2.076266745870733,US,US-TX,27.77005695,-97.475386,368542800,1835648100,-10.41304347826087,3.6440122044241043,yes
US-TX-439,48.505,38.348,-10.157,21.81,-0.466,0.644,47,2.6019024754616398,US,US-TX,32.77189005,-97.291823,1413645000,902392200,-13.228260869565217,0.8287948131197567,no
US-TX-453,36.672,18.158,-18.514,13.055,-1.418,0.163,45,2.9655951406138477,US,US-TX,30.3428035,-97.78131995,792982800,1880345000,-17.217391304347824,-3.160335621662851,no
US-UT-035,15.507,15.587,0.081,13.834,0.006,0.995,36,2.1295540832194795,US,US-UT,40.6379306,-111.8935549,694606500,1391054000,-12.347826086956522,1.709229595728452,no
US-WI-009,-47.246,-51.177,-3.931,12.958,-0.303,0.763,62,4.32142282998048,US,US-WI,44.45907725,-88.00611265,308105100,1080376000,-12.902173913043478,1.154881769641495,no
US-WI-079,-6.533,37.687,44.219,20.327,2.175,0.033,64,5.047171378955363,US,US-WI,43.0174741,-87.95416455,492333300,131278500,-13.228260869565217,0.8287948131197567,yes
US-WY-025,46.22,24.234,-21.986,44.807,-0.491,0.631,15,2.168759413041815,US,US-WY,42.9605133,-106.822485,156351600,13779270000,-8.565217391304348,5.491838291380626,no
